,Ensembl transcript ID that has SL with MS evidence
253,ENST00000280706
254,ENST00000465632
255,ENST00000392414
256,ENST00000272065
257,ENST00000444334
258,ENST00000262093
259,ENST00000554310
260,ENST00000361521
261,ENST00000321117
262,ENST00000455662
263,ENST00000217426
264,ENST00000361060
265,ENST00000393051
266,ENST00000439645
267,ENST00000437669
268,ENST00000538771
269,ENST00000233627
270,ENST00000413453
271,ENST00000526339
272,ENST00000261206
273,ENST00000545162
274,ENST00000341116
275,ENST00000443239
276,ENST00000392332
277,ENST00000393196
278,ENST00000366535
279,ENST00000376285
280,ENST00000558134
281,ENST00000342945
282,ENST00000449699
283,ENST00000422447
284,ENST00000352480
285,ENST00000627059
286,ENST00000539282
287,ENST00000504309
288,ENST00000210444
289,ENST00000586613
290,ENST00000356962
291,ENST00000635862
292,ENST00000501493
293,ENST00000393564
294,ENST00000515320
295,ENST00000334828
296,ENST00000504139
297,ENST00000409174
298,ENST00000262890
299,ENST00000622841
300,ENST00000537919
301,ENST00000342741
302,ENST00000524491
303,ENST00000397500
304,ENST00000529048
305,ENST00000222286
306,ENST00000442940
307,ENST00000564178
308,ENST00000394309
309,ENST00000561609
310,ENST00000510025
311,ENST00000266095
312,ENST00000428106
313,ENST00000423867
314,ENST00000514888
315,ENST00000584086
316,ENST00000503064
317,ENST00000319622
318,ENST00000540430
319,ENST00000566379
320,ENST00000618539
321,ENST00000225614
322,ENST00000439817
323,ENST00000491013
324,ENST00000578590
325,ENST00000503130
326,ENST00000544381
327,ENST00000460201
328,ENST00000249042
329,ENST00000429182
330,ENST00000276390
331,ENST00000318388
332,ENST00000217901
333,ENST00000354269
334,ENST00000350259
335,ENST00000261733
336,ENST00000378614
337,ENST00000504317
338,ENST00000527958
339,ENST00000356124
340,ENST00000483936
341,ENST00000403892
342,ENST00000340385
343,ENST00000564688
344,ENST00000522798
345,ENST00000352178
346,ENST00000370093
347,ENST00000313468
348,ENST00000305784
349,ENST00000354858
350,ENST00000414777
351,ENST00000226299
352,ENST00000372079
353,ENST00000529064
354,ENST00000314666
355,ENST00000277865
356,ENST00000626814
357,ENST00000538839
358,ENST00000449878
359,ENST00000307227
360,ENST00000558554
361,ENST00000415005
362,ENST00000325006
363,ENST00000359624
364,ENST00000219302
365,ENST00000409908
366,ENST00000538631
367,ENST00000467076
368,ENST00000568459
369,ENST00000423725
