,Ensembl transcript ID,SL with MS evidence
346,ENST00000339618,c
347,ENST00000636891,c
348,ENST00000465828,m
349,ENST00000539214,c
350,ENST00000396856,c
351,ENST00000396858,c
352,ENST00000396859,c
353,ENST00000396859,c
354,ENST00000393376,c
355,ENST00000393376,c
356,ENST00000393376,c
357,ENST00000393376,c
358,ENST00000418807,c
359,ENST00000413174,c
360,ENST00000413174,c
361,ENST00000354289,c
362,ENST00000456492,c
363,ENST00000338435,m
364,ENST00000338435,c
365,ENST00000350669,c
366,ENST00000538309,m
367,ENST00000535561,m
368,ENST00000246337,c
369,ENST00000321117,c
370,ENST00000419197,c
371,ENST00000360566,c
372,ENST00000579698,c
373,ENST00000579698,c
374,ENST00000361389,c
375,ENST00000361389,c
376,ENST00000361389,c
377,ENST00000540309,m
378,ENST00000540309,c
379,ENST00000307738,c
380,ENST00000437669,m
381,ENST00000304567,c
382,ENST00000345146,c
383,ENST00000345146,c
384,ENST00000345146,c
385,ENST00000424330,c
386,ENST00000424330,c
387,ENST00000443239,c
388,ENST00000542639,c
389,ENST00000591470,m
390,ENST00000591470,m
391,ENST00000591470,m
392,ENST00000409125,c
393,ENST00000596265,c
394,ENST00000443824,c
395,ENST00000443824,c
396,ENST00000443824,c
397,ENST00000443824,c
398,ENST00000443824,c
399,ENST00000513454,c
400,ENST00000353196,c
401,ENST00000369406,n
402,ENST00000403172,c
403,ENST00000403172,c
404,ENST00000432169,c
405,ENST00000432169,c
406,ENST00000511355,c
407,ENST00000514888,c
408,ENST00000514888,c
409,ENST00000519584,c
410,ENST00000340124,m
411,ENST00000595031,m
412,ENST00000443006,c
413,ENST00000443006,m
414,ENST00000460201,c
415,ENST00000325006,c
416,ENST00000395384,c
417,ENST00000427898,c
418,ENST00000400033,c
419,ENST00000400033,c
420,ENST00000611279,c
421,ENST00000374840,c
422,ENST00000511912,m
423,ENST00000511912,c
424,ENST00000455934,m
425,ENST00000455934,c
426,ENST00000455934,m
427,ENST00000455934,c
428,ENST00000300051,c
429,ENST00000300051,c
430,ENST00000618074,c
431,ENST00000577624,c
432,ENST00000577624,c
433,ENST00000216605,c
434,ENST00000216605,c
435,ENST00000216605,c
436,ENST00000264093,m
437,ENST00000437604,m
438,ENST00000437604,c
439,ENST00000278715,c
440,ENST00000491013,c
441,ENST00000491013,c
442,ENST00000350259,m
443,ENST00000350259,m
444,ENST00000350259,m
445,ENST00000350259,m
446,ENST00000487289,c
447,ENST00000487289,m
448,ENST00000624406,c
449,ENST00000624406,c
450,ENST00000432020,m
451,ENST00000319622,c
452,ENST00000356124,m
453,ENST00000361464,c
454,ENST00000378943,c
455,ENST00000378945,c
456,ENST00000378946,c
457,ENST00000359678,m
458,ENST00000505308,c
459,ENST00000505308,c
460,ENST00000398491,c
461,ENST00000483936,c
462,ENST00000445964,c
463,ENST00000312352,c
464,ENST00000468050,c
465,ENST00000442734,c
466,ENST00000442734,c
467,ENST00000442734,c
468,ENST00000636265,c
469,ENST00000636265,c
470,ENST00000268220,c
471,ENST00000394053,m
472,ENST00000394053,m
473,ENST00000529887,c
474,ENST00000292180,c
475,ENST00000447866,c
476,ENST00000447866,c
477,ENST00000402924,c
478,ENST00000402924,c
479,ENST00000522301,c
480,ENST00000437628,c
481,ENST00000437628,c
482,ENST00000437628,c
483,ENST00000396973,c
484,ENST00000586613,n
485,ENST00000402252,c
486,ENST00000402252,c
487,ENST00000504309,m
488,ENST00000553586,c
489,ENST00000553586,c
490,ENST00000553586,c
491,ENST00000553586,c
492,ENST00000399191,c
493,ENST00000399191,c
494,ENST00000399191,c
495,ENST00000507013,c
496,ENST00000507013,c
497,ENST00000507013,c
498,ENST00000507013,c
499,ENST00000507013,c
500,ENST00000507013,c
501,ENST00000507013,c
502,ENST00000507013,c
503,ENST00000420436,c
504,ENST00000264221,c
505,ENST00000264221,c
506,ENST00000414651,c
507,ENST00000414651,c
508,ENST00000636886,m
